date,open,high,low,close,volume
2024-08-01,44,45,43.5,44.6,3500000
2024-08-02,44.7,45.2,44.1,44.9,2900000
2024-08-05,45.0,45.6,44.8,45.4,4100000
2024-08-06,45.3,45.9,45.0,45.7,3900000
2024-08-07,45.8,46.2,45.6,46.1,4200000
2024-08-08,46.0,46.3,45.7,45.9,3600000
2024-08-09,45.9,46.5,45.8,46.2,3300000
2024-08-12,46.3,46.6,45.9,46.0,3400000
2024-08-13,46.1,46.4,45.6,45.8,3200000
2024-08-14,45.7,46.1,45.3,45.5,3550000
2024-08-15,45.4,45.9,45.1,45.8,3100000
2024-08-16,45.9,46.4,45.7,46.2,3000000
2024-08-19,46.1,46.6,45.8,46.4,2980000
2024-08-20,46.4,46.8,46.2,46.7,2800000
2024-08-21,46.8,47.1,46.5,46.9,3050000
2024-08-22,46.9,47.2,46.6,47.0,2950000
2024-08-23,47.1,47.6,46.9,47.5,3120000
2024-08-26,47.5,48.0,47.3,47.9,3250000
2024-08-27,47.8,48.2,47.5,48.1,3300000
2024-08-28,48.0,48.4,47.7,48.2,3000000
