date,open,high,low,close,volume
2024-08-01,290,293,288,292,420000
2024-08-02,292,294,289,291,400000
2024-08-05,291,295,290,294,430000
2024-08-06,294,296,292,295,440000
2024-08-07,295,297,294,296,435000
2024-08-08,296,297,293,294,410000
2024-08-09,294,296,292,295,425000
2024-08-12,295,298,294,297,430000
2024-08-13,297,299,295,298,420000
2024-08-14,298,300,296,299,440000
2024-08-15,299,301,297,300,445000
2024-08-16,300,302,298,301,438000
2024-08-19,301,303,300,302,430000
2024-08-20,302,304,301,303,428000
2024-08-21,303,305,301,304,432000
2024-08-22,304,306,302,305,440000
2024-08-23,305,307,303,306,448000
2024-08-26,306,308,304,307,450000
2024-08-27,307,309,305,308,455000
2024-08-28,308,310,306,309,460000
